Cases,Pop_Estimate,Median_Income,Unemployment,Less_Highschool,Highschool,Associates,Bachelors,PCTPov_All,Pop_Density
20418,561497,53554,7.6,9.5,31.8,35,23.7,13.1,0.000196864
1306,34319,58640,4.5,12.3,36.2,33.2,18.3,12,2.19E-05
2845,76648,62600,5.9,10.9,28.5,32.1,28.5,10.8,2.85E-05
748,25932,42518,5.8,18.7,40.1,28.6,12.5,20.1,1.71E-05
42,4002,40408,3.9,25.8,41.9,22.5,9.7,21.6,3.68E-06
1325,65765,71628,5,11.7,37.5,30.8,20,9.1,5.30E-05
359,19335,40962,6.9,21.6,40.9,25.9,11.6,20.6,2.13E-05
279,22507,38529,7.1,21.4,40.8,24.7,13,20.9,1.28E-05
169,10638,41425,5.1,23.8,38.9,21.6,15.8,24.1,2.25E-05
821,26521,47980,4.7,13.4,33.5,31.3,21.8,12.1,2.65E-05
2785,115821,94563,5.4,4.7,20.9,28.2,46.2,5.4,0.000230068
3122,98604,50520,6.3,17.6,34.3,27.2,20.9,16.4,7.47E-05
8313,250847,113332,4.6,7,15.6,24.3,53.1,4.5,0.000431316
669,23504,47691,5.9,17.7,39.4,27,15.9,17.3,3.47E-05
29999,1077402,79235,8,7.4,17.7,22,52.9,13.8,0.00078974
847,31978,57007,4.7,18.3,35.4,25.9,20.4,14.6,2.90E-05
55,2984,49350,4.1,21.8,40.9,25.7,11.6,16.9,8.02E-06
1872,85568,58017,6.8,11.9,26.7,31.5,29.9,15.4,7.87E-05
2367,58780,53373,5.5,22.1,34.9,28.3,14.7,12.3,6.38E-05
456,24491,42603,4.4,19.9,39.2,27,13.9,21.7,2.08E-05
539,18837,60973,5.9,14.7,33.4,25.1,26.9,15,1.88E-05
33768,942627,72225,6.3,12.3,22.3,28.4,36.9,9.2,0.000845309
1041,46047,51296,5.4,20.4,34.7,25.6,19.3,15.2,6.42E-05
7248,206591,66698,4.7,20.9,27.7,26.9,24.5,13.5,0.000202973
192,8494,31715,8.8,25.8,43.1,22.4,8.6,31.2,6.96E-06
472,30383,49020,5.9,18.8,36.1,30.4,14.8,14.4,4.16E-05
855,36080,74052,4.6,7.8,23.7,37.1,31.4,6.5,3.00E-05
548,26406,50647,5.4,18.5,36.9,28.9,15.7,14.6,4.39E-05
211,11973,48984,6.5,20.3,45.1,25.8,8.7,16.7,1.56E-05
7800,239139,72927,7.4,8.8,31.7,31.1,28.5,8.1,0.000289761
3806,160110,65641,5.2,8.4,27,36.2,28.3,11,0.000164387
